,mz,rtmin,rtmax,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\05_EB3388_AOH_p_0.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\06_EB3389_AOH_p_10.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\07_EB3390_AOH_p_20.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\08_EB3391_AOH_p_60.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\16_EB3392_AME_p_0.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\17_EB3393_AME_p_10.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\18_EB3394_AME_p_20.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\19_EB3395_AME_p_60.mzML
2563,529.4061949214347,0.19400362676056312,0.196230055164323,2053593.4165039062,1588039.1535644531,1575667.484375,1270655.1225585938,2693215.0532226562,2057608.9916992188,1707326.5673828125,1404450.0751953125
2564,529.4061949214347,0.19634162519562182,0.1977153388106446,234159.185546875,236986.57666015625,258650.365234375,271319.43359375,334660.1435546875,284554.380859375,308079.68798828125,273580.119140625
2565,529.494101337257,0.20273779613734189,0.22033154637577904,729469.5346679688,425640.306640625,1836548.7778320312,1539034.24609375,2416257.791015625,1648110.7175292969,1585006.7700195312,1698954.4853515625
2566,530.3228784993569,0.18730368809523237,0.18863816746032094,161055.56396484375,272234.9287109375,377872.7087402344,501142.01806640625,178278.36376953125,261736.6748046875,301432.3173828125,408110.80029296875
2567,530.3228784993569,0.18862121666667,0.19043996349205286,259520.810546875,416989.45703125,499317.26904296875,895479.0302734375,331967.49267578125,441893.173828125,595618.4577636719,964050.5185546875
2568,530.3894418667319,0.13965059684684145,0.1440445623123207,923913.7900390625,1008937.8979492188,860887.8037109375,834139.9829101562,799418.2641601562,1575074.3386230469,944933.6655273438,787768.3078613281
2569,530.4093342800148,0.19411146396396398,0.19619447297297296,645761.1262207031,458029.6904296875,467998.5354003906,402145.55810546875,786804.228515625,577306.0380859375,529260.0263671875,407218.77001953125
2570,531.3265377530068,0.1874215545267549,0.1885829320987759,44400.398681640625,73912.07470703125,107577.38916015625,135226.43408203125,40373.0283203125,76540.34741210938,98839.14892578125,98485.888671875
2571,531.3265377530068,0.18856131995884753,0.18989077777778332,73221.5986328125,103857.25732421875,139180.224609375,258696.12939453125,91323.67041015625,135792.51220703125,151429.755859375,285179.376953125
2572,531.3855236315278,0.18638844750367106,0.1907244073666233,1259194.9750976562,1232947.0029296875,1670397.34375,1551834.9912109375,1674206.2958984375,1732368.1228027344,1771075.2744140625,1912992.9482421875
