Row.names	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	AME	AOH	ms_level	05_EB3388_AOH_p_0.mzXML	06_EB3389_AOH_p_10.mzXML	07_EB3390_AOH_p_20.mzXML	08_EB3391_AOH_p_60.mzXML	16_EB3392_AME_p_0.mzXML	17_EB3393_AME_p_10.mzXML	18_EB3394_AME_p_20.mzXML	19_EB3395_AME_p_60.mzXML	row ID	annotation network number	best ion	identified by n=	partners	neutral M mass	correlation group ID	auto MS2 verify
FT559	370.299882899489	370.299529497365	370.30027949749	687.9855	687.969	688.412	8	4	4	1	519409.693840272	484488.983268235	577795.161513283	578493.565507802	742922.398598349	584678.571446492	588752.570668739	559825.995454674	559	NA	NA	NA	NA	NA	41	NA
FT560	371.187047924753	371.186754783831	371.187572615756	615.571	615.145	615.59	5	3	2	1	NA	97342.3597126115	330919.782617182	478951.058735804	50898.0316662946	201927.953738835	293147.258813276	301979.231287323	560	21	[M+K+HCOOH]+	6	227;301;382;494;104	286.216596435956	12	NA
FT561	371.20982060892	371.209583705847	371.210533453091	511.143	511.133	511.143	3	2	1	1	NA	NA	NA	290603.574603299	NA	19823.9308830741	242823.465959821	753888.231260507	561	117	[M+K+NaCOOH]+	8	283;286;287;651;496;498;391	264.265973208165	41	NA
FT562	371.254889371791	371.254117726279	371.255154072072	650.696	650.673	651.125	5	2	3	1	3735.78068453665	289150.567967888	361515.916861973	568988.890158025	133894.198306843	207934.304146876	200780.300571429	408173.994601917	562	15	[M+H]+	3	451;379	370.257040589153	10	NA
FT563	371.291039745732	371.290427350242	371.291509740031	709.911	709.479	709.935	8	4	4	1	1120011.02478775	1076743.43919923	974762.602804679	1003441.79723164	918865.315124998	777125.250868055	779551.973278526	815750.293050002	563	NA	NA	NA	NA	NA	41	NA
FT564	371.314444799308	371.313931882827	371.314755769974	714.7505	714.728	715.195	8	4	4	1	1577494.78982402	1279323.81460546	1072753.36547426	668139.945452524	554052.235807293	655393.259355264	557685.67092904	599527.377046881	564	94	[M+H]+	3	614;487	370.307519597684	38	NA
FT565	372.294723973427	372.294206064184	372.294863640381	709.696	709.474	709.926	4	1	3	1	200014.910764977	207055.424626676	147363.992913126	185518.043027338	196759.304176899	10291.0554399219	2657.68857925182	2207.79668601564	565	NA	NA	NA	NA	NA	41	NA
FT566	373.210452393139	373.210142384111	373.210858987013	692.5915	692.357	692.82	8	4	4	1	391370.900781252	300311.391294647	263434.639843751	261399.854330353	395890.966285715	277228.281317705	280440.355952569	239958.206817705	566	84	[M+2Na-H]+	4	476;766;461	328.23766449298	35	NA
FT567	374.301893056411	374.301817138602	374.302248535927	666.481	666.48	666.491	3	3	0	1	NA	7632.47623103584	5187.34234601818	NA	398031.053118812	270316.240259957	619689.382446624	396991.051734381	567	NA	NA	NA	NA	NA	40	NA
FT568	374.325689525238	374.32565672001	374.325733321877	694.5535	694.141	694.567	4	0	4	1	212706.06210937	199175.004692704	175011.397651695	198834.500571429	NA	23037.2854370312	12561.5907630427	NA	568	25	[M+H+NH3]+	4	509;585;426	356.292352302205	13	NA
FT569	375.161220354507	375.160393225542	375.16126723245	623.921	623.49	623.922	3	1	2	1	32305.1458213902	114524.386930078	259967.661547851	403911.099417191	NA	2621.84140828732	2439.71194906722	254956.512808594	569	118	[M+K+NaCOOH]+	11	160;161;162;163;236;237;641;131;116;123	268.207042335451	41	NA
FT570	375.226099317584	375.225748937842	375.226339002703	700.276	699.817	705.546	10	4	4	1	1355637.08036022	1140858.36335625	1040774.98763282	1175513.92521563	1300523.97306855	1135406.26113803	1137701.13930383	1271927.24290623	570	123	[M+H+HCOOH]+	9	376;377;378;475;311;273;275;224	328.235423086596	41	NA
FT571	375.250228157307	375.250052325523	375.25040398909	663.3995	663.398	663.401	2	0	2	1	344710.675983667	249138.59534863	37793.6796363484	31381.1583222657	NA	NA	NA	NA	571	100	[M+2K-H]+	4	410;411;412	298.313101001886	40	NA
FT572	376.229475617491	376.229146208624	376.229795905131	700.267	699.817	700.716	8	4	4	1	275908.498151782	258996.456186772	228331.294824782	252792.538517096	279135.423428572	244161.126585931	246810.997714286	266115.174330359	572	NA	NA	NA	NA	NA	41	NA
FT573	376.317749071269	376.317205620509	376.318321664019	686.219	685.8	686.24	8	4	4	1	899292.938143361	654277.700496863	534399.950324574	953618.051384382	1314845.00678517	880438.956298627	1880636.0999047	1358302.58893748	573	115	[M+H+CF3COOH]+	3	219;354	261.30682733477	41	NA
